Data,Ticker,Open,Close,Volume,Decisão,Justificativa,Lucro_Operacao,Lucro_Acumulado
2010-01-04,BRFS3.SA,21.513051986694336,21.79386329650879,3156197,COMPRAR,Preço em alta e volume forte,0.0,0.0
2010-01-04,PETR4.SA,11.786509145246814,11.904533386230469,13303600,COMPRAR,Preço em alta e volume forte,0.0,0.0
2010-01-04,VALE3.SA,30.93741694506778,31.738746643066406,2381400,COMPRAR,Preço em alta e volume forte,0.0,0.0
2010-01-05,BRFS3.SA,21.76530647277832,22.022321701049805,2997988,MANTER,Sem sinal claro,0.0,0.0
2010-01-05,PETR4.SA,11.923672581717849,11.802457809448242,21396400,VENDER,Venda por queda no fechamento. Lucro R$ -0.10,-0.10207557678222656,-0.10207557678222656
2010-01-05,VALE3.SA,31.769563627732857,32.03461837768555,3001800,MANTER,Sem sinal claro,0.0,-0.10207557678222656
2010-01-06,BRFS3.SA,21.96996688842773,22.322172164916992,3079508,MANTER,Sem sinal claro,0.0,-0.10207557678222656
2010-01-06,PETR4.SA,11.73866499914642,11.961955070495604,18720600,COMPRAR,Preço em alta e volume forte,0.0,-0.10207557678222656
2010-01-06,VALE3.SA,32.05311507734843,32.712669372558594,2742800,MANTER,Sem sinal claro,0.0,-0.10207557678222656
2010-01-07,BRFS3.SA,22.127031326293945,22.18414688110352,2408643,MANTER,Sem sinal claro,0.0,-0.10207557678222656
2010-01-07,PETR4.SA,11.888585369844575,11.85030746459961,10964600,VENDER,Venda por queda no fechamento. Lucro R$ -0.11,-0.11164760589599432,-0.21372318267822088
2010-01-07,VALE3.SA,32.367475982351415,32.84827423095703,2543100,MANTER,Sem sinal claro,0.0,-0.21372318267822088
2010-01-08,BRFS3.SA,22.293615341186523,22.27457618713379,1658778,VENDER,Venda por queda no fechamento. Lucro R$ 0.48,0.480712890625,0.2669897079467791
2010-01-08,PETR4.SA,11.853499985034356,11.786513328552246,14624200,MANTER,Sem sinal claro,0.0,0.2669897079467791
2010-01-08,VALE3.SA,32.8544358254466,33.16880416870117,2444500,MANTER,Sem sinal claro,0.0,0.2669897079467791
2010-01-11,BRFS3.SA,22.35072898864746,22.203184127807617,1759629,MANTER,Sem sinal claro,0.0,0.2669897079467791
